RAW Data export file (comma separated)


Client:	Andre,Bestbier
Session:	Andre3 
Date:	23-06-2017
Time:	15:45:00
Duration:	138	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-40.584,642.495,,
-41.123,642.495,,
-41.522,642.495,,
-41.435,642.495,,
-41.288,642.310,,
-41.288,642.310,,
-41.190,642.310,,
-40.797,642.310,,
-40.277,642.264,,
-39.677,642.264,,
-39.416,642.264,,
-39.727,642.264,,
-40.417,642.062,,
-40.787,642.062,,
-40.461,642.062,,
-39.715,642.062,,
-39.459,641.984,,
-39.791,641.984,,
-40.418,641.984,,
-40.757,641.984,,
-40.652,641.738,,
-40.434,641.738,,
-40.570,641.738,,
-41.048,641.738,,
-41.467,641.594,,
-41.330,641.594,,
-40.579,641.594,,
-39.557,641.594,,
-39.115,641.424,,
-39.347,641.424,,
-39.588,641.424,,
-39.826,641.424,,
-39.889,641.240,,
-39.448,641.240,,
-39.205,641.240,,
-39.467,641.240,,
-39.685,640.987,,
-39.911,640.987,,
-40.476,640.987,,
-40.884,640.987,,
-40.528,640.673,,
-39.685,640.673,,
-38.897,640.673,,
-38.234,640.673,,
-37.892,640.433,,
-37.725,640.433,,
-37.421,640.433,,
-37.125,640.433,,
-36.924,639.971,,
-36.739,639.971,,
-36.559,639.971,,
-36.886,639.971,,
-37.557,639.622,,
-38.507,639.622,,
-39.768,639.622,,
-41.117,639.622,,
-42.194,639.111,,
-42.759,639.111,,
-42.239,639.111,,
-41.069,639.111,,
-39.749,638.778,,
-38.433,638.778,,
-37.611,638.778,,
-37.073,638.778,,
-36.346,638.362,,
-35.213,638.362,,
-34.018,638.362,,
-32.772,638.362,,
-31.711,638.157,,
-31.105,638.157,,
-30.647,638.157,,
-30.308,638.157,,
-30.133,637.796,,
-30.080,637.796,,
-29.988,637.796,,
-30.210,637.796,,
-30.843,637.641,,
-31.822,637.641,,
-32.781,637.641,,
-33.893,637.641,,
-35.275,637.303,,
-37.088,637.303,,
-38.483,637.303,,
-38.748,637.303,,
-38.525,637.041,,
-37.962,637.041,,
-36.966,637.041,,
-35.892,637.041,,
-35.073,636.741,,
-34.954,636.741,,
-35.350,636.741,,
-35.889,636.741,,
-36.226,636.480,,
-36.721,636.480,,
-36.922,636.480,,
-37.007,636.480,,
-37.311,636.253,,
-37.733,636.253,,
-37.992,636.253,,
-38.186,636.253,,
-38.482,635.952,,
-38.882,635.952,,
-39.285,635.952,,
-39.741,635.952,,
-39.605,635.773,,
-39.034,635.773,,
-38.305,635.773,,
-37.427,635.773,,
-36.894,635.462,,
-36.841,635.462,,
-36.967,635.462,,
-37.588,635.462,,
-38.594,635.282,,
-39.359,635.282,,
-39.184,635.282,,
-38.495,635.282,,
-37.925,634.947,,
-37.475,634.947,,
-37.282,634.947,,
-37.408,634.947,,
-37.950,634.793,,
-38.561,634.793,,
-38.779,634.793,,
-38.515,634.793,,
-38.314,634.478,,
-38.271,634.478,,
-38.452,634.478,,
-38.781,634.478,,
-39.116,634.341,,
-39.186,634.341,,
-38.898,634.341,,
-38.727,634.341,,
-38.746,634.043,,
-38.835,634.043,,
-39.237,634.043,,
-39.859,634.043,,
-40.124,633.846,,
-39.980,633.846,,
-39.664,633.846,,
-39.056,633.846,,
-38.240,633.543,,
-37.356,633.543,,
-36.484,633.543,,
-35.842,633.543,,
-35.402,633.309,,
-35.269,633.309,,
-35.949,633.309,,
-37.245,633.309,,
-38.249,633.056,,
-38.735,633.056,,
-38.587,633.056,,
-38.243,633.056,,
-38.013,632.801,,
-37.616,632.801,,
-37.177,632.801,,
-36.927,632.801,,
-36.956,632.647,,
-37.305,632.647,,
-37.974,632.647,,
-38.575,632.647,,
-38.793,632.406,,
-39.223,632.406,,
-39.842,632.406,,
-40.329,632.406,,
-40.649,632.273,,
-40.773,632.273,,
-40.783,632.273,,
-40.924,632.273,,
-41.117,632.043,,
-41.522,632.043,,
-41.750,632.043,,
-41.575,632.043,,
-41.151,631.925,,
-40.669,631.925,,
-40.665,631.925,,
-40.767,631.925,,
-40.627,631.682,,
-40.438,631.682,,
-40.353,631.682,,
-40.060,631.682,,
-39.653,631.593,,
-39.060,631.593,,
-38.417,631.593,,
-38.130,631.593,,
-38.299,631.333,,
-38.357,631.333,,
-38.237,631.333,,
-38.295,631.333,,
-38.363,631.126,,
-38.572,631.126,,
-38.909,631.126,,
-39.309,631.126,,
-39.417,630.782,,
-39.064,630.782,,
-38.538,630.782,,
-38.154,630.782,,
-37.818,630.540,,
-37.326,630.540,,
-36.695,630.540,,
-35.991,630.540,,
-35.142,630.301,,
-34.226,630.301,,
-32.849,630.301,,
-31.418,630.301,,
-30.265,630.142,,
-29.428,630.142,,
-28.699,630.142,,
-28.264,630.142,,
-27.966,630.021,,
-27.933,630.021,,
-27.934,630.021,,
-28.004,630.021,,
-28.032,629.887,,
-28.044,629.887,,
-28.540,629.887,,
-29.560,629.887,,
-30.350,629.868,,
-30.853,629.868,,
-31.505,629.868,,
-32.475,629.868,,
-33.623,629.764,,
-34.789,629.764,,
-36.003,629.764,,
-37.154,629.764,,
-38.090,629.730,,
-38.702,629.730,,
-38.925,629.730,,
-39.007,629.730,,
-39.093,629.617,,
-39.427,629.617,,
-39.880,629.617,,
-40.428,629.617,,
-40.859,629.706,,
-41.098,629.706,,
-41.587,629.706,,
-42.098,629.706,,
-41.901,629.697,,
-40.941,629.697,,
-39.474,629.697,,
-38.772,629.697,,
-38.515,629.840,,
-37.733,629.840,,
-36.637,629.840,,
-35.663,629.840,,
-34.757,629.862,,
-34.331,629.862,,
-34.083,629.862,,
-33.847,629.862,,
-34.205,630.065,,
-34.980,630.065,,
-35.549,630.065,,
-35.770,630.065,,
-35.802,630.136,,
-36.285,630.136,,
-37.110,630.136,,
-37.877,630.136,,
-38.762,630.344,,
-39.050,630.344,,
-38.470,630.344,,
-37.670,630.344,,
-37.218,630.446,,
-37.452,630.446,,
-38.130,630.446,,
-39.136,630.446,,
-40.143,630.649,,
-40.719,630.649,,
-40.875,630.649,,
-40.828,630.649,,
-40.378,630.805,,
-39.474,630.805,,
-38.589,630.805,,
-38.384,630.805,,
-38.747,630.986,,
-39.034,630.986,,
-39.008,630.986,,
-39.167,630.986,,
-39.474,631.194,,
-39.738,631.194,,
-39.807,631.194,,
-39.633,631.194,,
-38.898,631.343,,
-38.133,631.343,,
-37.740,631.343,,
-37.742,631.343,,
-37.877,631.606,,
-38.292,631.606,,
-39.010,631.606,,
-39.883,631.606,,
-40.843,631.762,,
-41.273,631.762,,
-41.133,631.762,,
-40.334,631.762,,
-39.440,632.063,,
-38.378,632.063,,
-37.442,632.063,,
-36.696,632.063,,
-35.951,632.231,,
-35.310,632.231,,
-35.259,632.231,,
-35.915,632.231,,
-36.983,632.604,,
-37.860,632.604,,
-38.034,632.604,,
-37.812,632.604,,
-37.677,632.785,,
-37.546,632.785,,
-37.677,632.785,,
-38.072,632.785,,
-38.627,633.143,,
-38.679,633.143,,
-38.410,633.143,,
-38.316,633.143,,
-38.389,633.368,,
-38.205,633.368,,
-38.126,633.368,,
-38.231,633.368,,
-38.200,633.753,,
-38.043,633.753,,
-37.805,633.753,,
-37.538,633.753,,
-37.183,634.056,,
-36.791,634.056,,
-36.620,634.056,,
-36.816,634.056,,
-36.830,634.446,,
-37.005,634.446,,
-37.281,634.446,,
-37.333,634.446,,
-37.048,634.742,,
-36.652,634.742,,
