Data recorded on Mon Jul 24 12-17-50 CAT 2017
Time: 12:17:57
Time		Millis		objTemp		dieTemp		sensorVoltage
18,6	,	53869	,	36.53	,	31.56	,	139.0
18,7	,	57883	,	36.56	,	31.62	,	137.0
18,11	,	61898	,	36.64	,	31.69	,	138.0
18,15	,	65912	,	36.7	,	31.75	,	138.0
18,19	,	69926	,	36.76	,	31.81	,	138.0
18,23	,	73940	,	36.76	,	31.84	,	136.0
18,27	,	77955	,	36.84	,	31.91	,	137.0
18,31	,	81969	,	36.9	,	31.94	,	139.0
18,35	,	85983	,	36.97	,	32.0	,	140.0
18,39	,	89998	,	37.03	,	32.03	,	142.0
18,43	,	94012	,	37.04	,	32.06	,	140.0
18,47	,	98027	,	37.08	,	32.09	,	141.0
18,51	,	102041	,	37.1	,	32.13	,	140.0
18,55	,	106055	,	37.17	,	32.19	,	141.0
18,59	,	110070	,	37.2	,	32.22	,	141.0
19,3	,	114084	,	37.22	,	32.25	,	140.0
