Data recorded on Mon Jul 24 11-59-52 CAT 2017
Time: 12:0:10
Time		Millis		objTemp		dieTemp		sensorVoltage
0,19	,	45843	,	34.98	,	33.56	,	-117.0
0,22	,	49858	,	35.09	,	33.59	,	-111.0
0,26	,	53872	,	35.14	,	33.63	,	-110.0
0,30	,	57886	,	35.2	,	33.66	,	-108.0
0,34	,	61901	,	35.27	,	33.69	,	-105.0
0,38	,	65915	,	35.33	,	33.72	,	-103.0
0,42	,	69929	,	35.39	,	33.75	,	-101.0
0,46	,	73944	,	35.44	,	33.78	,	-100.0
0,50	,	77958	,	35.5	,	33.81	,	-98.0
0,54	,	81972	,	35.56	,	33.84	,	-96.0
0,58	,	85987	,	35.59	,	33.88	,	-96.0
1,2	,	90001	,	35.65	,	33.91	,	-94.0
1,6	,	94016	,	35.69	,	33.91	,	-91.0
1,10	,	98030	,	35.75	,	33.94	,	-89.0
1,14	,	102044	,	35.84	,	33.97	,	-85.0
1,18	,	106059	,	35.86	,	34.0	,	-86.0
