Data recorded on Mon Jul 24 08-32-35 CAT 2017
Time: 8:32:42
Time		Millis		objTemp		dieTemp		sensorVoltage
32,51	,	29868	,	1.62	,	-0.03	,	-1.0
32,54	,	33883	,	1.62	,	-0.03	,	-1.0
32,58	,	37897	,	1.62	,	-0.03	,	-1.0
33,2	,	41912	,	1.62	,	-0.03	,	-1.0
33,6	,	45926	,	1.62	,	-0.03	,	-1.0
33,10	,	49940	,	1.62	,	-0.03	,	-1.0
33,14	,	53955	,	1.62	,	-0.03	,	-1.0
33,18	,	57969	,	1.62	,	-0.03	,	-1.0
33,22	,	61984	,	1.62	,	-0.03	,	-1.0
33,26	,	65998	,	1.62	,	-0.03	,	-1.0
33,30	,	69996	,	1.62	,	-0.03	,	-1.0
33,34	,	74011	,	1.62	,	-0.03	,	-1.0
33,38	,	78025	,	1.62	,	-0.03	,	-1.0
33,42	,	82040	,	1.62	,	-0.03	,	-1.0
33,46	,	86054	,	1.62	,	-0.03	,	-1.0
33,50	,	90068	,	1.62	,	-0.03	,	-1.0
