Data recorded on Wed Jul 26 10-08-21 CAT 2017
Time: 10:8:41
Time		Millis		objTemp		dieTemp		sensorVoltage
8,50	,	37921	,	34.76	,	33.91	,	-158.0
8,50	,	41935	,	34.85	,	33.91	,	-151.0
8,54	,	45950	,	34.82	,	33.94	,	-156.0
8,58	,	49964	,	34.83	,	33.94	,	-155.0
9,2	,	53979	,	34.87	,	33.94	,	-152.0
9,6	,	57993	,	34.89	,	33.97	,	-153.0
9,10	,	62008	,	34.86	,	33.97	,	-155.0
9,14	,	66007	,	34.86	,	33.97	,	-157.0
9,18	,	70021	,	34.83	,	34.0	,	-158.0
9,22	,	74035	,	34.85	,	34.0	,	-157.0
9,26	,	78050	,	34.87	,	34.0	,	-156.0
9,30	,	82065	,	35.05	,	34.03	,	-146.0
9,34	,	86079	,	35.05	,	34.03	,	-151.0
9,38	,	90094	,	34.98	,	34.06	,	-152.0
9,42	,	94108	,	35.02	,	34.06	,	-151.0
9,47	,	98123	,	35.02	,	34.06	,	-151.0
