Data recorded on Tue Jul 25 13-38-14 CAT 2017
Time: 13:38:41
Time		Millis		objTemp		dieTemp		sensorVoltage
38,50	,	90007	,	28.33	,	32.88	,	-526.0
38,54	,	94021	,	28.68	,	32.94	,	-507.0
38,58	,	98035	,	28.96	,	33.03	,	-495.0
39,2	,	102049	,	29.16	,	33.09	,	-486.0
39,6	,	106063	,	29.39	,	33.16	,	-475.0
39,10	,	110078	,	29.67	,	33.25	,	-463.0
39,14	,	114092	,	29.85	,	33.28	,	-453.0
39,18	,	118106	,	30.04	,	33.34	,	-445.0
39,22	,	122120	,	30.24	,	33.41	,	-436.0
39,26	,	126134	,	30.41	,	33.47	,	-429.0
39,30	,	130149	,	30.57	,	33.5	,	-420.0
39,34	,	134163	,	30.75	,	33.53	,	-410.0
39,38	,	138177	,	31.04	,	33.56	,	-393.0
39,42	,	142192	,	31.04	,	33.63	,	-388.0
39,46	,	146205	,	31.17	,	33.66	,	-384.0
