Data recorded on Mon Jul 24 11-02-27 CAT 2017
Time: 11:2:38
Time		Millis		objTemp		dieTemp		sensorVoltage
2,47	,	37790	,	37.96	,	33.84	,	78.0
2,50	,	41821	,	37.96	,	33.84	,	78.0
2,54	,	45819	,	37.96	,	33.88	,	77.0
2,58	,	49834	,	37.97	,	33.88	,	76.0
3,2	,	53864	,	37.99	,	33.91	,	76.0
3,6	,	57879	,	37.99	,	33.91	,	76.0
3,10	,	61877	,	37.99	,	33.94	,	74.0
3,14	,	65908	,	38.0	,	33.94	,	74.0
3,18	,	69922	,	37.98	,	33.94	,	73.0
3,22	,	73921	,	37.98	,	33.97	,	73.0
3,26	,	77935	,	38.01	,	33.97	,	74.0
3,30	,	81965	,	38.04	,	33.97	,	75.0
3,34	,	85964	,	38.04	,	33.97	,	75.0
3,38	,	89979	,	38.04	,	34.0	,	75.0
3,42	,	94009	,	38.04	,	34.0	,	73.0
3,46	,	98008	,	38.04	,	34.0	,	74.0
