Data recorded on Mon Jun 26 15:28:24 CAT 2017
Time: 15:28:29
Time		Millis		objTemp		dieTemp		sensorVoltage
28,33	,	21757	,	38.17	,	34.22	,	66.0
28,36	,	25771	,	38.14	,	34.22	,	64.0
28,40	,	29785	,	38.17	,	34.22	,	66.0
28,44	,	33800	,	38.2	,	34.25	,	66.0
28,48	,	37814	,	38.19	,	34.25	,	65.0
28,52	,	41829	,	38.19	,	34.25	,	65.0
28,56	,	45843	,	38.2	,	34.28	,	64.0
29,0	,	49857	,	38.19	,	34.28	,	63.0
29,4	,	53871	,	38.19	,	34.28	,	63.0
29,8	,	57886	,	38.16	,	34.28	,	61.0
29,12	,	61900	,	38.15	,	34.28	,	60.0
29,16	,	65914	,	38.19	,	34.31	,	61.0
29,20	,	69913	,	38.19	,	34.31	,	62.0
29,24	,	73943	,	38.19	,	34.31	,	61.0
29,28	,	77942	,	38.19	,	34.31	,	63.0
29,32	,	81956	,	38.22	,	34.31	,	61.0
