RAW Data export file (comma separated)


Client:	John,Sample
Session:	Philipp1 
Date:	25-07-2017
Time:	10:25:42
Duration:	391	Seconds.
Output rate:	128	Samples/sec.

128 SPS,32 SPS,
Sensor-G:BVP,Sensor-H:RSP,Events,


-175.626,631.508,,
-175.557,631.508,,
-175.466,631.508,,
-175.270,631.508,,
-175.154,631.998,,
-175.290,631.998,,
-175.337,631.998,,
-175.309,631.998,,
-175.354,632.370,,
-175.343,632.370,,
-175.265,632.370,,
-175.216,632.370,,
-175.217,632.675,,
-175.234,632.675,,
-175.245,632.675,,
-175.301,632.675,,
-175.328,632.491,,
-175.326,632.491,,
-175.275,632.491,,
-175.220,632.491,,
-175.253,632.036,,
-175.279,632.036,,
-175.244,632.036,,
-175.205,632.036,,
-175.259,631.715,,
-175.320,631.715,,
-175.335,631.715,,
-175.329,631.715,,
-175.260,631.275,,
-175.238,631.275,,
-175.196,631.275,,
-175.135,631.275,,
-175.290,630.852,,
-175.455,630.852,,
-175.455,630.852,,
-175.367,630.852,,
-175.281,629.818,,
-175.229,629.818,,
-175.145,629.818,,
-175.145,629.818,,
-175.157,628.734,,
-175.185,628.734,,
-175.241,628.734,,
-175.280,628.734,,
-175.363,627.631,,
-175.380,627.631,,
-175.274,627.631,,
-175.148,627.631,,
-175.183,626.582,,
-175.180,626.582,,
-175.108,626.582,,
-175.140,626.582,,
-175.261,625.701,,
-175.320,625.701,,
-175.295,625.701,,
-175.340,625.701,,
-175.386,624.745,,
-175.279,624.745,,
-175.258,624.745,,
-175.268,624.745,,
-175.327,623.958,,
-175.321,623.958,,
-175.240,623.958,,
-175.216,623.958,,
-175.244,623.115,,
-175.265,623.115,,
-175.259,623.115,,
-175.358,623.115,,
-175.395,622.675,,
-175.335,622.675,,
-175.329,622.675,,
-175.379,622.675,,
-175.370,622.319,,
-175.343,622.319,,
-175.332,622.319,,
-175.380,622.319,,
-175.337,621.976,,
-175.208,621.976,,
-175.186,621.976,,
-175.114,621.976,,
-175.125,621.695,,
-175.115,621.695,,
-175.152,621.695,,
-175.253,621.695,,
-175.306,621.428,,
-175.326,621.428,,
-175.347,621.428,,
-175.367,621.428,,
-175.410,621.272,,
-175.429,621.272,,
-175.526,621.272,,
-175.499,621.272,,
-175.460,621.011,,
-175.424,621.011,,
-175.369,621.011,,
-175.255,621.011,,
-175.149,620.796,,
-175.111,620.796,,
-175.189,620.796,,
-175.279,620.796,,
-175.296,620.538,,
-175.240,620.538,,
-175.255,620.538,,
-175.255,620.538,,
-175.253,620.375,,
-175.289,620.375,,
-175.329,620.375,,
-175.407,620.375,,
-175.384,620.284,,
-175.402,620.284,,
-175.394,620.284,,
-175.359,620.284,,
-175.435,620.101,,
-175.329,620.101,,
-175.243,620.101,,
-175.223,620.101,,
-175.185,620.082,,
-175.262,620.082,,
-175.283,620.082,,
-175.294,620.082,,
-175.294,619.989,,
-175.271,619.989,,
-175.203,619.989,,
-175.161,619.989,,
-175.191,620.035,,
-175.205,620.035,,
-175.262,620.035,,
-175.272,620.035,,
-175.229,620.016,,
-175.196,620.016,,
-175.170,620.016,,
-175.197,620.016,,
-175.256,619.879,,
-175.191,619.879,,
-175.190,619.879,,
-175.274,619.879,,
-175.327,619.815,,
-175.286,619.815,,
-175.272,619.815,,
-175.272,619.815,,
-175.298,619.504,,
-175.259,619.504,,
-175.227,619.504,,
-175.208,619.504,,
-175.119,619.320,,
-175.163,619.320,,
-175.197,619.320,,
-175.243,619.320,,
-175.317,619.157,,
-175.386,619.157,,
-175.253,619.157,,
-175.179,619.157,,
-175.107,619.164,,
-175.131,619.164,,
-175.153,619.164,,
-175.260,619.164,,
-175.361,619.353,,
-175.446,619.353,,
-175.421,619.353,,
-175.347,619.353,,
-175.206,619.281,,
-175.001,619.281,,
-174.940,619.281,,
-174.953,619.281,,
-175.056,619.159,,
-175.148,619.159,,
-175.214,619.159,,
-175.350,619.159,,
-175.329,618.881,,
-175.226,618.881,,
-175.206,618.881,,
-175.261,618.881,,
-175.320,618.856,,
-175.315,618.856,,
-175.364,618.856,,
-175.385,618.856,,
-175.441,618.791,,
-175.474,618.791,,
-175.388,618.791,,
-175.301,618.791,,
-175.184,618.918,,
-175.092,618.918,,
-175.187,618.918,,
-175.282,618.918,,
-175.371,619.102,,
-175.379,619.102,,
-175.338,619.102,,
-175.279,619.102,,
-175.125,619.311,,
-175.046,619.311,,
-175.078,619.311,,
-175.178,619.311,,
-175.215,619.889,,
-175.196,619.889,,
-175.234,619.889,,
-175.178,619.889,,
-175.097,620.411,,
-175.162,620.411,,
-175.255,620.411,,
-175.240,620.411,,
-175.096,620.899,,
-175.107,620.899,,
-175.173,620.899,,
-175.216,620.899,,
-175.226,621.177,,
-175.245,621.177,,
-175.289,621.177,,
-175.294,621.177,,
-175.192,621.703,,
-175.111,621.703,,
-175.256,621.703,,
-175.305,621.703,,
-175.335,622.223,,
-175.358,622.223,,
-175.306,622.223,,
-175.254,622.223,,
-175.108,622.632,,
-175.110,622.632,,
-175.124,622.632,,
-175.128,622.632,,
-175.129,623.145,,
-175.200,623.145,,
-175.266,623.145,,
-175.201,623.145,,
-175.145,623.531,,
-175.122,623.531,,
-175.163,623.531,,
-175.165,623.531,,
-175.126,624.162,,
-175.176,624.162,,
-175.159,624.162,,
-175.209,624.162,,
-175.380,624.686,,
-175.396,624.686,,
-175.312,624.686,,
-175.171,624.686,,
-175.126,625.292,,
-175.073,625.292,,
-175.163,625.292,,
-175.293,625.292,,
-175.295,625.818,,
-175.270,625.818,,
-175.197,625.818,,
-175.254,625.818,,
-175.304,626.251,,
-175.237,626.251,,
-175.176,626.251,,
-175.184,626.251,,
-175.252,626.723,,
-175.277,626.723,,
-175.278,626.723,,
-175.323,626.723,,
-175.338,626.890,,
-175.250,626.890,,
-175.132,626.890,,
-175.105,626.890,,
-175.056,627.025,,
-175.110,627.025,,
-175.159,627.025,,
-175.201,627.025,,
-175.175,626.806,,
-175.162,626.806,,
-175.229,626.806,,
-175.233,626.806,,
-175.153,626.518,,
-175.061,626.518,,
-175.126,626.518,,
-175.239,626.518,,
-175.363,626.036,,
-175.390,626.036,,
-175.346,626.036,,
-175.345,626.036,,
-175.332,625.594,,
-175.200,625.594,,
-175.087,625.594,,
-175.128,625.594,,
-175.205,625.265,,
-175.187,625.265,,
-175.113,625.265,,
-175.176,625.265,,
-175.190,624.776,,
-175.136,624.776,,
-175.143,624.776,,
-175.162,624.776,,
-175.220,624.155,,
-175.243,624.155,,
-175.242,624.155,,
-175.185,624.155,,
-175.153,623.239,,
-175.058,623.239,,
-175.099,623.239,,
-175.200,623.239,,
-175.234,622.495,,
-175.157,622.495,,
-175.105,622.495,,
-175.170,622.495,,
-175.250,621.891,,
-175.341,621.891,,
-175.425,621.891,,
-175.428,621.891,,
-175.267,621.370,,
-175.151,621.370,,
-175.154,621.370,,
-175.107,621.370,,
-175.115,620.955,,
-175.196,620.955,,
-175.231,620.955,,
-175.287,620.955,,
-175.323,620.494,,
-175.261,620.494,,
-175.261,620.494,,
-175.213,620.494,,
-175.167,620.263,,
-175.156,620.263,,
-175.199,620.263,,
-175.228,620.263,,
-175.314,620.116,,
-175.333,620.116,,
-175.229,620.116,,
-175.076,620.116,,
-175.005,620.134,,
-175.018,620.134,,
-175.164,620.134,,
-175.301,620.134,,
-175.253,619.957,,
-175.154,619.957,,
-175.098,619.957,,
-175.056,619.957,,
-175.056,619.794,,
-175.131,619.794,,
