30	,	30	,	0	,	75.1	,	15	,	15	,	0	,	73.4	,	15	,	15	,	0	,	76.8
23	,	22	,	1	,	74.5	,	8	,	7	,	1	,	73.1	,	15	,	15	,	0	,	75.8
27	,	22	,	5	,	58.6	,	12	,	9	,	3	,	58.1	,	15	,	13	,	2	,	59.0
27	,	22	,	5	,	57.9	,	12	,	10	,	2	,	58.6	,	15	,	12	,	3	,	57.2
28	,	25	,	3	,	68.2	,	13	,	12	,	1	,	65.3	,	15	,	13	,	2	,	71.5
25	,	25	,	0	,	69.5	,	10	,	12	,	-2	,	68.3	,	15	,	13	,	2	,	70.8
28	,	29	,	-1	,	66.3	,	13	,	13	,	0	,	59.2	,	15	,	16	,	-1	,	75.4
28	,	27	,	1	,	67.0	,	13	,	13	,	0	,	60.3	,	15	,	14	,	1	,	75.5
34	,	29	,	5	,	60.3	,	19	,	15	,	4	,	60.6	,	15	,	14	,	1	,	60.0
32	,	30	,	2	,	63.5	,	17	,	17	,	0	,	62.0	,	15	,	13	,	2	,	65.0
28	,	29	,	-1	,	71.9	,	13	,	14	,	-1	,	70.5	,	15	,	15	,	0	,	73.5
26	,	26	,	0	,	70.6	,	11	,	11	,	0	,	68.0	,	15	,	15	,	0	,	73.4
29	,	27	,	2	,	81.9	,	14	,	12	,	2	,	78.9	,	15	,	15	,	0	,	85.1
29	,	32	,	-3	,	82.2	,	14	,	16	,	-2	,	79.5	,	15	,	16	,	-1	,	85.2
31	,	29	,	2	,	73.5	,	16	,	14	,	2	,	75.7	,	15	,	15	,	0	,	71.5
32	,	32	,	0	,	73.6	,	17	,	17	,	0	,	74.5	,	15	,	15	,	0	,	72.8
29	,	28	,	1	,	65.7	,	14	,	14	,	0	,	64.6	,	15	,	14	,	1	,	66.9
29	,	28	,	1	,	65.6	,	14	,	13	,	1	,	65.6	,	15	,	15	,	0	,	65.7
32	,	26	,	6	,	72.3	,	17	,	12	,	5	,	71.9	,	15	,	14	,	1	,	72.6
34	,	33	,	1	,	68.6	,	19	,	18	,	1	,	65.9	,	15	,	15	,	0	,	71.7
22	,	22	,	0	,	84.5	,	7	,	7	,	0	,	81.4	,	15	,	15	,	0	,	88.0
23	,	24	,	-1	,	85.4	,	8	,	8	,	0	,	81.9	,	15	,	16	,	-1	,	89.3
32	,	32	,	0	,	75.1	,	17	,	17	,	0	,	72.7	,	15	,	15	,	0	,	77.6
30	,	33	,	-3	,	74.8	,	15	,	17	,	-2	,	71.5	,	15	,	16	,	-1	,	78.5
29	,	28	,	1	,	77.6	,	14	,	13	,	1	,	77.3	,	15	,	15	,	0	,	77.8
35	,	33	,	2	,	79.4	,	20	,	20	,	0	,	77.2	,	15	,	13	,	2	,	81.8
